product,category
iPhone 15 Pro,Phones
Samsung Galaxy S25,Phones
Google Pixel 10,Phones
MacBook Air M4,Laptops
Dell XPS 15,Laptops
Lenovo ThinkPad X1 Carbon,Laptops
Sony WH-1000XM6,Audio
JBL Charge 6,Audio
Apple Watch Series 11,Wearables
Garmin Forerunner 970,Wearables
PlayStation 5 Slim,Gaming
Xbox Series X,Gaming
Men's Cotton Polo Shirt,Men's Clothing
Women's Summer Dress,Women's Clothing
Nike Air Max 270,Shoes
Casio Edifice Chronograph,Watches
Ergonomic Office Chair,Furniture
Standing Desk 140cm,Furniture
Philips Air Fryer XL,Kitchen Appliances
Instant Pot Duo 7L,Kitchen Appliances
Modern Table Lamp,Home Decor
Adjustable Dumbbell Set,Fitness Equipment
Camping Tent 4 Person,Camping & Hiking
Clean Code,Programming
The Pragmatic Programmer,Programming
A4 Notebook Pack,Office Supplies
Wireless Mouse,Office Supplies
Wireless Mouse,Electronics
Vitamin C Face Serum,Skincare
Moisturizing Face Cream,Skincare
Gaming Mechanical Keyboard,Gaming
Gaming Mechanical Keyboard,Electronics
