name,description,parent
Electronics,Electronic devices and gadgets,
Phones,Smartphones and mobile accessories,Electronics
Laptops,Laptops and notebooks,Electronics
Audio,Headphones speakers and audio equipment,Electronics
Wearables,Smart watches and fitness trackers,Electronics
Gaming,Consoles and gaming accessories,Electronics
Fashion,Clothing footwear and accessories,
Men's Clothing,Apparel for men,Fashion
Women's Clothing,Apparel for women,Fashion
Shoes,Footwear for everyone,Fashion
Watches,Wrist watches and accessories,Fashion
Home & Kitchen,Home essentials and kitchen products,
Furniture,Home and office furniture,Home & Kitchen
Kitchen Appliances,Cooking and kitchen appliances,Home & Kitchen
Home Decor,Decorative items for the home,Home & Kitchen
Sports & Outdoors,Sports fitness and outdoor gear,
Fitness Equipment,Gym and workout equipment,Sports & Outdoors
Camping & Hiking,Camping and outdoor adventure gear,Sports & Outdoors
Books,Books and educational materials,
Fiction,Novels and stories,Books
Programming,Programming and software development books,Books
Office Supplies,Office stationery and accessories,
Health & Beauty,Personal care and beauty products,
Skincare,Facial and skin care products,Health & Beauty
